subject,bias,absolute,group,group_c,time,time_c,hand,hand_c,degree
4,-3,3,disturbance,"0,5",post,"0,5",left,"-0,5",24
4,4,4,disturbance,"0,5",post,"0,5",left,"-0,5",-10
4,-1,1,disturbance,"0,5",post,"0,5",right,"0,5",-22
4,-4,4,disturbance,"0,5",post,"0,5",right,"0,5",12
4,1,1,disturbance,"0,5",post,"0,5",right,"0,5",-30
4,4,4,disturbance,"0,5",post,"0,5",left,"-0,5",8
4,3,3,disturbance,"0,5",post,"0,5",right,"0,5",-6
4,-2,2,disturbance,"0,5",post,"0,5",right,"0,5",20
4,"1,5","1,5",disturbance,"0,5",post,"0,5",right,"0,5",4
5,2,2,control,"-0,5",pre,"-0,5",right,"0,5",10
5,-1,1,control,"-0,5",pre,"-0,5",left,"-0,5",-4
5,-8,8,control,"-0,5",pre,"-0,5",right,"0,5",-8
5,-2,2,control,"-0,5",pre,"-0,5",right,"0,5",26
5,1,1,control,"-0,5",pre,"-0,5",right,"0,5",18
5,2,2,control,"-0,5",pre,"-0,5",left,"-0,5",14
5,5,5,control,"-0,5",pre,"-0,5",left,"-0,5",30
5,"4,5","4,5",control,"-0,5",pre,"-0,5",left,"-0,5",-12
5,2,2,control,"-0,5",pre,"-0,5",left,"-0,5",22
5,3,3,control,"-0,5",pre,"-0,5",right,"0,5",2
5,3,3,control,"-0,5",pre,"-0,5",right,"0,5",-24
5,"-4,5","4,5",control,"-0,5",pre,"-0,5",left,"-0,5",-28
5,"2,5","2,5",control,"-0,5",pre,"-0,5",right,"0,5",-16
5,-5,5,control,"-0,5",pre,"-0,5",left,"-0,5",6
5,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",-20
5,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-18
5,6,6,control,"-0,5",pre,"-0,5",right,"0,5",-22
5,"4,5","4,5",control,"-0,5",pre,"-0,5",right,"0,5",-14
5,2,2,control,"-0,5",pre,"-0,5",right,"0,5",-6
5,3,3,control,"-0,5",pre,"-0,5",right,"0,5",28
5,"3,5","3,5",control,"-0,5",pre,"-0,5",right,"0,5",20
5,-3,3,control,"-0,5",pre,"-0,5",left,"-0,5",24
5,-1,1,control,"-0,5",pre,"-0,5",left,"-0,5",-10
5,-2,2,control,"-0,5",pre,"-0,5",left,"-0,5",-26
5,11,11,control,"-0,5",pre,"-0,5",right,"0,5",12
5,1,1,control,"-0,5",pre,"-0,5",left,"-0,5",16
5,0,0,control,"-0,5",pre,"-0,5",right,"0,5",-30
